date,LPX,AAL,CR,DAL,DLX,LUV,RHI,SNA,URI,AAP,AZO,EXPE,KBH,NFLX,PCLN,PHM,SHLD,TIF,TSN,HCA,AFL,AIZ,AMP,BLK,ETFC,GNW,HIG,LNC,MET,NTRS,PFG,PRU,UNM,AKAM,BVSN,CVG,FB,GOOGL,IAC,ORCL,VIAV,S,DYN,CBG,HST,RLGY
2 01 1990,14.66666667,,11.22222222,,34.5,1.064469543,1.4375,22,,,,,7.375,,,1.5,,5.90625,8.375,,2.35,,,,,,,15.25,,5.104166667,,,11.9375,,,,,,,0.595679012,,,,,33.25,
3 01 1990,14.79166667,,10.77777778,,34.375,1.042521717,1.4375,21.83333333,,,,,7.4375,,,1.515625,,6.3125,8.416666667,,2.3,,,,,,,15.3125,,5.229166667,,,12.125,,,,,,,0.530864198,,,,,33.375,
4 01 1990,14.75,,10.77777778,,34.75,1.048008674,1.479166667,21.75,,,,,7.1875,,,1.484375,,6.234375,8.375,,2.25,,,,,,,14.96875,,5.270833333,,,12.3125,,,,,,,0.546296296,,,,,33,
5 01 1990,14.625,,10.66666667,,34.5,1.042521717,1.458333333,22,,,,,7.0625,,,1.421875,,6.21875,8.416666667,,2.25,,,,,,,14.6875,,5.395833333,,,12.46875,,,,,,,0.515432099,,,,,33.125,
8 01 1990,14.54166667,,10.66666667,,34.25,1.05349563,1.5,21.91666667,,,,,7.125,,,1.375,,6.359375,8.416666667,,2.283333333,,,,,,,14.78125,,5.395833333,,,12.34375,,,,,,,0.533950617,,,,,33.25,
9 01 1990,14.5,,10.72222222,,33.625,1.009599979,1.5,21.75,,,,,6.6875,,,1.34375,,6.34375,8.333333333,,2.266666667,,,,,,,14.03125,,5.375,,,12.1875,,,,,,,0.509259259,,,,,33.375,
10 01 1990,14.54166667,,10.44444444,,33.25,0.97667824,1.5,21.75,,,,,6.5,,,1.328125,,6.28125,8.333333333,,2.183333333,,,,,,,14.1875,,5.208333333,,,12.25,,,,,,,0.481481481,,,,,33.125,
11 01 1990,14.41666667,,10.72222222,,33.375,0.932782589,1.520833333,21.75,,,,,6.9375,,,1.328125,,6.265625,8.041666667,,2.266666667,,,,,,,14.25,,5.229166667,,,12.4375,,,,,,,0.478395062,,,,,32,
12 01 1990,13.95833333,,10.55555556,,32.75,0.921808676,1.479166667,21.75,,,,,6.8125,,,1.234375,,5.96875,7.916666667,,2.2,,,,,,,14.0625,,5.145833333,,,12.21875,,,,,,,0.466049383,,,,,31.25,
15 01 1990,13.33333333,,10.22222222,,32.75,0.938269546,1.458333333,21.75,,,,,6.6875,,,1.203125,,5.75,7.875,,2.2,,,,,,,14.1875,,5.041666667,,,12.09375,,,,,,,0.453703704,,,,,30.875,
16 01 1990,13.25,,10.38888889,,33.25,0.97667824,1.4375,21.91666667,,,,,6.625,,,1.265625,,5.671875,8.041666667,,2.133333333,,,,,,,14.375,,5.0625,,,12.3125,,,,,,,0.487654321,,,,,30.875,
17 01 1990,13.08333333,,10.27777778,,32.625,0.949243458,1.4375,22.16666667,,,,,6.5,,,1.21875,,5.625,8.041666667,,2.116666667,,,,,,,14.375,,5.166666667,,,12.40625,,,,,,,0.5,,,,,30.875,
18 01 1990,13,,10.33333333,,32,0.949243458,1.4375,22.58333333,,,,,6.75,,,1.21875,,5.609375,8,,2.116666667,,,,,,,14.6875,,5.135416667,,,12.21875,,,,,,,0.512345679,,,,,30,
19 01 1990,13.16666667,,10.16666667,,31.625,0.949243458,1.479166667,21.91666667,,,,,6.5625,,,1.125,,5.546875,8.041666667,,2.233333333,,,,,,,14.3125,,5.1875,,,12.40625,,,,,,,0.50308642,,,,,29.5,
22 01 1990,13,,10.05555556,,30.375,0.932782589,1.489583333,21.75,,,,,6.5625,,,1,,5.453125,8.083333333,,2.233333333,,,,,,,14.15625,,5.166666667,,,12.28125,,,,,,,0.481481481,,,,,28.625,
