ID,Ticker,Name
1,AN.2,AMOCO CORP
2,ANDV,ANDEAVOR
3,ANRZQ,ALPHA NATURAL RESOURCES INC
4,APA,APACHE CORP
5,APC,ANADARKO PETROLEUM CORP
6,ARC.3,ATLANTIC RICHFIELD CO
7,BHI,BAKER HUGHES INC
8,BJS.1,BJ SERVICES CO
9,BR.2,BURLINGTON RESOURCES INC
10,BTU,PEABODY ENERGY CORP
11,CAM,CAMERON INTERNATIONAL CORP
12,CHK,CHESAPEAKE ENERGY CORP
13,CNX,CONSOL ENERGY INC
14,COC1,CONOCO INC
15,COG,CABOT OIL & GAS CORP
16,COP,CONOCOPHILLIPS
17,CPGX,COLUMBIA PIPELINE GROUP INC
18,CVX,CHEVRON CORP
19,CXO,CONCHO RESOURCES INC
20,DI.,DRESSER INDUSTRIES INC
21,DNR,DENBURY RESOURCES INC
22,DO,DIAMOND OFFSHRE DRILLING INC
23,DVN,DEVON ENERGY CORP
24,EOG,EOG RESOURCES INC
25,EP,EL PASO CORP
26,EQT,EQT CORP
27,ESV,ENSCO PLC
28,FTI,TECHNIPFMC PLC
29,FTI.1,FMC TECHNOLOGIES INC
30,HAL,HALLIBURTON CO
31,HES,HESS CORP
32,HP,HELMERICH & PAYNE
33,KMG.1,KERR-MCGEE CORP
34,KMI,KINDER MORGAN INC
35,LLX.,LOUISIANA LAND & EXPLORATION
36,MDR,MCDERMOTT INTL INC
37,MEE,MASSEY ENERGY CO
38,MOB.2,MOBIL CORP
39,MPC,MARATHON PETROLEUM CORP
40,MRO,MARATHON OIL CORP
41,MROX.CM,USX CORP-CONSOLIDATED
42,MUR,MURPHY OIL CORP
43,MXS,MAXUS ENERGY CORP
44,NBL,NOBLE ENERGY INC
45,NBR,NABORS INDUSTRIES LTD
46,NC,NACCO INDUSTRIES  -CL A
47,NE,NOBLE CORP PLC
48,NFX,NEWFIELD EXPLORATION CO
49,NOV,NATIONAL OILWELL VARCO INC
50,OKE,ONEOK INC
51,ORX,ORYX ENERGY CO
52,OXY,OCCIDENTAL PETROLEUM CORP
53,PSX,PHILLIPS 66
54,PXD,PIONEER NATURAL RESOURCES CO
55,PZE.1,PENNZENERGY CO
56,QEP,QEP RESOURCES INC
57,RDC,ROWAN COMPANIES PLC
58,RDPL,ROYAL DUTCH PETROLEUM NV
59,RIG,TRANSOCEAN LTD
60,RRC,RANGE RESOURCES CORP
61,SFS.1,SANTA FE SNYDER CORP
62,SII,SMITH INTERNATIONAL INC
63,SLB,SCHLUMBERGER LTD
64,SUN.1,SUNOCO INC
65,SWN,SOUTHWESTERN ENERGY CO
66,SXCL,STEEL EXCEL INC
67,TOS.1,TOSCO CORP
68,TX.2,TEXACO INC
69,UCL,UNOCAL CORP
70,UPR.1,UNION PACIFIC RESOURCES GRP
71,VLO,VALERO ENERGY CORP
72,WAI.1,WESTERN ATLAS INC
73,WFT,WEATHERFORD INTL PLC
74,WLB,WESTMORELAND COAL CO
75,WMB,WILLIAMS COS INC
76,WPX,WPX ENERGY INC
77,XEC,CIMAREX ENERGY CO
78,XOM,EXXON MOBIL CORP
79,XTO,XTO ENERGY INC
